text,font,font_size,is_bold,is_italic,is_underline,is_all_caps,is_centered,contains_number,contains_fullstop,word_count,x0,y0,x1,y1,space_above,space_below,space_left,space_right,page_number,norm_font_size,norm_space_above,norm_space_below,norm_space_left,norm_space_right
"In general, a Certified Tester Foundation Level –   Agile Tester is expected to have acquired the necessary  skills to working effectively within an Agile team and environment.",Arial,10,False,False,False,False,True,False,True,27,70.94,483.38,539.54,507.49,22.58,25.52,70.94,72.46,10,0.2222,0.1391,0.1436,0.0,0.0116
3.2 Content,Arial,14,False,False,True,False,False,True,True,2,70.94,533.0,150.99,548.66,25.52,7.87,70.94,461.01,10,0.4444,0.1436,0.1166,0.0,1.0
Chapter 1: Agile Software Development,Arial,10,False,False,False,False,False,True,False,5,70.94,556.53,249.17,567.63,7.87,-0.34,70.94,362.83,10,0.2222,0.1166,0.1041,0.0,0.7502
"   The tester should remember the basic concept of Agile software development based on the Agile  Manifesto.     The tester should understand the advantages of the whole-team approach and the benefits of  early and frequent feedback.     The tester should recall Agile software development approaches.     The tester should be able to write testable user stories in collaboration with developers and  business representatives.     The tester should understand how retrospectives can be used as a mechanism for process  improvement in Agile projects.     The tester should understand the use and purpose of continuous integration.     The tester should know the differences between iteration and release planning, and how a tester  adds value in each of these activities.",Arial,10,False,False,False,False,False,False,True,117,88.94,567.29,543.89,710.34,-0.34,8.38,88.94,68.11,10,0.2222,0.1041,0.1174,0.0426,0.0005
"Version 2014  Page 10 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.71,533.13,730.11,8.38,6.78,76.58,78.87,10,0.2222,0.1174,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.78,48.42,76.58,392.71,10,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester  Qualifications,Arial,10,False,False,False,False,False,False,False,11,74.42,38.63,515.69,72.77,-36.52,-11.11,74.42,96.31,11,0.2222,0.049,0.0877,0.0083,0.0722
Board,Arial,10,False,False,False,False,False,False,False,1,493.55,61.67,522.84,72.77,-11.11,36.07,493.55,89.16,11,0.2222,0.0877,0.1596,1.0,0.0541
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes",Arial,10,False,False,False,False,False,True,False,9,70.94,108.85,406.35,119.95,36.07,-0.34,70.94,205.65,11,0.2222,0.1596,0.1041,0.0,0.3504
"   The tester should be able to describe the differences between testing activities in Agile projects  and non-Agile projects.     The tester should be able to describe how development and testing activities are integrated in  Agile projects.     The tester should be able to describe the role of independent testing in Agile projects.     The tester should be able to describe the tools and techniques used to communicate the status of  testing in an Agile project, including test progress and product quality.     The tester should be able to describe the process of evolving tests across multiple iterations and  explain why test automation is important to manage regression risk in Agile projects.     The tester should understand the skills (people, domain, and testing) of a tester in an Agile team.     The tester should be able to understand the role of a tester within an Agile team.",Arial,10,False,False,False,False,False,False,True,147,88.94,119.61,543.8,251.99,-0.34,11.11,88.94,68.2,11,0.2222,0.1041,0.1216,0.0426,0.0007
"Chapter 3: Agile Testing Methods, Techniques, and Tools",Arial,10,False,False,False,False,False,True,False,8,70.94,263.1,328.55,274.2,11.11,-0.34,70.94,283.45,11,0.2222,0.1216,0.1041,0.0,0.5483
"   The tester should be able to recall the concepts of test-driven development, acceptance test- driven development, and behavior-driven development.     The tester should be able to recall the concepts of the test pyramid.     The tester should be able to summarize the testing quadrants and their relationships with testing  levels and testing types.     For a given Agile project, the tester should be able to work as a tester in a Scrum team.     The tester should be able to assess quality risks within an Agile project.     The tester should be able to estimate testing effort based on iteration content and quality risks.     The tester should be able to interpret relevant information to support testing activities.     The tester should be able to explain to business stakeholders how to define testable acceptance  criteria.     Given a user story, the tester should be able to write acceptance test-driven development test  cases.     For both functional and non-functional behavior, the tester should be able to write test cases using  black box test design techniques based on given user stories.     The tester should be able to perform exploratory testing to support the testing of an Agile project.     The tester should be able to recall different tools available to testers according to their purpose  and to activities in Agile projects.",Arial,10,False,False,False,False,False,False,True,221,88.94,273.86,543.95,489.42,-0.34,229.33,88.94,68.05,11,0.2222,0.1041,0.4543,0.0426,0.0004
"Version 2014  Page 11 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.75,533.13,730.14,229.33,6.75,76.58,78.87,11,0.2222,0.4543,0.1149,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.75,48.42,76.58,392.71,11,0.0,0.1149,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester,Arial,10,False,False,False,False,False,False,False,10,74.42,38.63,515.69,70.24,-36.52,-8.57,74.42,96.31,12,0.2222,0.049,0.0916,0.0083,0.0722
Qualifications Board,Arial,10,False,False,False,False,False,False,False,2,430.75,61.67,522.84,72.77,-8.57,50.2,430.75,89.16,12,0.2222,0.0916,0.1812,0.8514,0.0541
4.  References,Arial,16,True,False,True,False,False,True,True,2,70.94,122.98,184.21,140.77,50.2,30.62,70.94,427.79,12,0.5556,0.1812,0.1513,0.0,0.9155
4.1 Trademarks,Arial,14,False,False,True,False,False,True,True,2,70.94,171.39,176.55,187.05,30.62,7.84,70.94,435.45,12,0.4444,0.1513,0.1166,0.0,0.935
The following registered trademarks and service marks are used in this document:,Arial,10,False,False,False,False,False,False,False,12,70.94,194.89,436.23,205.99,7.84,13.04,70.94,175.77,12,0.2222,0.1166,0.1245,0.0,0.2744
ISTQB ®  is a registered trademark of the International Software Testing Qualifications Board,Arial,10,False,False,False,False,False,False,False,13,70.94,219.04,477.04,232.03,13.04,25.44,70.94,134.96,12,0.2222,0.1245,0.1434,0.0,0.1706
4.2 Documents and Web Sites,Arial,14,False,False,True,False,False,True,True,5,70.94,257.46,267.76,273.12,25.44,7.72,70.94,344.24,12,0.4444,0.1434,0.1164,0.0,0.703
Identifier  Reference  [ISTQB-Web]  Web site of the International Software Testing Qualifications Board. Refer  to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org),Arial,10,True,False,False,False,False,False,True,24,76.34,280.84,520.48,318.1,7.72,400.59,76.34,91.52,12,0.2222,0.1164,0.7154,0.0128,0.0601
"Version 2014  Page 12 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.69,533.13,730.08,400.59,6.81,76.58,78.87,12,0.2222,0.7154,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.81,48.42,76.58,392.71,12,0.0,0.115,0.1785,0.0134,0.8263
